site;DO;temp;datetime
Toranche aval; 4,06;15,32;2019/07/16 10:00:00
Toranche aval; 4,06;15,20;2019/07/16 10:15:00
Toranche aval; 3,80;15,18;2019/07/16 10:30:00
Toranche aval; 3,82;15,20;2019/07/16 10:45:00
Toranche aval; 3,74;15,22;2019/07/16 11:00:00
Toranche aval; 3,71;15,28;2019/07/16 11:15:00
Toranche aval; 3,68;15,32;2019/07/16 11:30:00
Toranche aval; 3,67;15,40;2019/07/16 11:45:00
Toranche aval; 3,62;15,46;2019/07/16 12:00:00
Toranche aval; 3,54;15,56;2019/07/16 12:15:00
Toranche aval; 3,57;15,66;2019/07/16 12:30:00
Toranche aval; 3,69;15,82;2019/07/16 12:45:00
Toranche aval; 3,71;15,98;2019/07/16 13:00:00
Toranche aval; 3,92;16,20;2019/07/16 13:15:00
Toranche aval; 3,64;16,46;2019/07/16 13:30:00
Toranche aval; 3,57;16,50;2019/07/16 13:45:00
Toranche aval; 3,55;16,68;2019/07/16 14:00:00
Toranche aval; 3,52;16,80;2019/07/16 14:15:00
Toranche aval; 3,48;16,90;2019/07/16 14:30:00
Toranche aval; 3,51;17,08;2019/07/16 14:45:00
Toranche aval; 3,52;17,24;2019/07/16 15:00:00
Toranche aval; 3,49;17,38;2019/07/16 15:15:00
Toranche aval; 3,49;17,50;2019/07/16 15:30:00
Toranche aval; 3,42;17,62;2019/07/16 15:45:00
Toranche aval; 3,44;17,70;2019/07/16 16:00:00
Toranche aval; 3,37;17,82;2019/07/16 16:15:00
Toranche aval; 3,30;17,80;2019/07/16 16:30:00
Toranche aval; 3,28;18,04;2019/07/16 16:45:00
Toranche aval; 3,13;17,92;2019/07/16 17:00:00
Toranche aval; 3,06;17,92;2019/07/16 17:15:00
Toranche aval; 3,13;18,10;2019/07/16 17:30:00
Toranche aval; 3,02;18,10;2019/07/16 17:45:00
Toranche aval; 2,82;18,08;2019/07/16 18:00:00
Toranche aval; 2,81;18,22;2019/07/16 18:15:00
Toranche aval; 2,47;18,18;2019/07/16 18:30:00
Toranche aval; 2,42;18,24;2019/07/16 18:45:00
Toranche aval; 2,39;18,22;2019/07/16 19:00:00
Toranche aval; 2,40;18,30;2019/07/16 19:15:00
Toranche aval; 2,53;18,34;2019/07/16 19:30:00
Toranche aval; 2,40;18,36;2019/07/16 19:45:00
Toranche aval; 1,99;18,32;2019/07/16 20:00:00
Toranche aval; 2,00;18,42;2019/07/16 20:15:00
Toranche aval; 2,05;18,48;2019/07/16 20:30:00
Toranche aval; 2,02;18,46;2019/07/16 20:45:00
Toranche aval; 1,86;18,42;2019/07/16 21:00:00
Toranche aval; 2,12;18,52;2019/07/16 21:15:00
Toranche aval; 1,77;18,52;2019/07/16 21:30:00
Toranche aval; 1,51;18,44;2019/07/16 21:45:00
Toranche aval; 1,66;18,44;2019/07/16 22:00:00
Toranche aval; 1,96;18,48;2019/07/16 22:15:00
Toranche aval; 1,83;18,46;2019/07/16 22:30:00
Toranche aval; 1,79;18,42;2019/07/16 22:45:00
Toranche aval; 1,80;18,38;2019/07/16 23:00:00
Toranche aval; 1,81;18,32;2019/07/16 23:15:00
Toranche aval; 1,79;18,24;2019/07/16 23:30:00
Toranche aval; 1,80;18,18;2019/07/16 23:45:00
Toranche aval; 1,91;18,12;2019/07/17 00:00:00
Toranche aval; 2,63;18,04;2019/07/17 00:15:00
Toranche aval; 2,75;17,94;2019/07/17 00:30:00
Toranche aval; 3,04;17,88;2019/07/17 00:45:00
Toranche aval; 3,15;17,80;2019/07/17 01:00:00
Toranche aval; 3,08;17,74;2019/07/17 01:15:00
Toranche aval; 3,00;17,66;2019/07/17 01:30:00
Toranche aval; 2,99;17,60;2019/07/17 01:45:00
Toranche aval; 2,97;17,52;2019/07/17 02:00:00
Toranche aval; 2,97;17,44;2019/07/17 02:15:00
Toranche aval; 2,98;17,36;2019/07/17 02:30:00
Toranche aval; 3,11;17,30;2019/07/17 02:45:00
Toranche aval; 3,14;17,20;2019/07/17 03:00:00
Toranche aval; 3,39;17,10;2019/07/17 03:15:00
Toranche aval; 3,22;16,98;2019/07/17 03:30:00
Toranche aval; 3,14;16,92;2019/07/17 03:45:00
Toranche aval; 3,09;16,84;2019/07/17 04:00:00
Toranche aval; 3,07;16,78;2019/07/17 04:15:00
Toranche aval; 3,04;16,72;2019/07/17 04:30:00
Toranche aval; 3,07;16,64;2019/07/17 04:45:00
Toranche aval; 3,19;16,54;2019/07/17 05:00:00
Toranche aval; 3,28;16,44;2019/07/17 05:15:00
Toranche aval; 3,36;16,34;2019/07/17 05:30:00
Toranche aval; 3,39;16,24;2019/07/17 05:45:00
Toranche aval; 3,39;16,14;2019/07/17 06:00:00
Toranche aval; 3,36;16,04;2019/07/17 06:15:00
Toranche aval; 3,34;15,94;2019/07/17 06:30:00
Toranche aval; 3,32;15,86;2019/07/17 06:45:00
Toranche aval; 3,37;15,76;2019/07/17 07:00:00
Toranche aval; 3,37;15,68;2019/07/17 07:15:00
Toranche aval; 3,36;15,64;2019/07/17 07:30:00
Toranche aval; 3,35;15,60;2019/07/17 07:45:00
Toranche aval; 3,33;15,58;2019/07/17 08:00:00
Toranche aval; 3,30;15,58;2019/07/17 08:15:00
Toranche aval; 3,29;15,56;2019/07/17 08:30:00
Toranche aval; 3,27;15,56;2019/07/17 08:45:00
Toranche aval; 3,17;15,56;2019/07/17 09:00:00
Toranche aval; 3,14;15,60;2019/07/17 09:15:00
Toranche aval; 3,09;15,62;2019/07/17 09:30:00
Toranche aval; 3,04;15,66;2019/07/17 09:45:00
Toranche aval; 2,98;15,68;2019/07/17 10:00:00
Toranche aval; 2,96;15,70;2019/07/17 10:15:00
Toranche aval; 2,90;15,74;2019/07/17 10:30:00
Toranche aval; 2,84;15,76;2019/07/17 10:45:00
Toranche aval; 2,77;15,80;2019/07/17 11:00:00
Toranche aval; 2,70;15,82;2019/07/17 11:15:00
Toranche aval; 2,62;15,86;2019/07/17 11:30:00
Toranche aval; 2,57;15,92;2019/07/17 11:45:00
Toranche aval; 2,57;15,98;2019/07/17 12:00:00
Toranche aval; 2,53;16,04;2019/07/17 12:15:00
Toranche aval; 2,47;16,10;2019/07/17 12:30:00
Toranche aval; 2,46;16,24;2019/07/17 12:45:00
Toranche aval; 2,60;16,40;2019/07/17 13:00:00
Toranche aval; 3,09;16,62;2019/07/17 13:15:00
Toranche aval; 3,08;16,86;2019/07/17 13:30:00
Toranche aval; 2,87;16,90;2019/07/17 13:45:00
Toranche aval; 2,86;17,06;2019/07/17 14:00:00
Toranche aval; 2,81;17,16;2019/07/17 14:15:00
Toranche aval; 2,75;17,30;2019/07/17 14:30:00
Toranche aval; 2,90;17,50;2019/07/17 14:45:00
Toranche aval; 2,91;17,64;2019/07/17 15:00:00
Toranche aval; 2,95;17,80;2019/07/17 15:15:00
Toranche aval; 2,86;17,98;2019/07/17 15:30:00
Toranche aval; 2,75;18,10;2019/07/17 15:45:00
Toranche aval; 2,74;18,14;2019/07/17 16:00:00
Toranche aval; 2,84;18,22;2019/07/17 16:15:00
Toranche aval; 2,75;18,48;2019/07/17 16:30:00
Toranche aval; 2,82;18,34;2019/07/17 16:45:00
Toranche aval; 2,75;18,34;2019/07/17 17:00:00
Toranche aval; 2,77;18,42;2019/07/17 17:15:00
Toranche aval; 2,82;18,52;2019/07/17 17:30:00
Toranche aval; 2,73;18,50;2019/07/17 17:45:00
Toranche aval; 2,79;18,58;2019/07/17 18:00:00
